Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1741617075.98041 -0.592842039 0.1400636728 0 0 0 0.90452424 -0.426422208
1741617076.08011 -0.526390524 0.151977692 0 0 0 0.946407368 -0.322975377
1741617076.17922 -0.467853198 0.1563398152 0 0 0 0.971162793 -0.238417344
1741617076.27985 -0.419536047 0.1551459952 0 0 0 0.986449679 -0.164064105
1741617076.37949 -0.3837124185 0.1513809536 0 0 0 0.993963076 -0.109715102
1741617076.47961 -0.3594202365 0.1482149496 0 0 0 0.99775099 -0.067029558
1741617076.58032 -0.347518227 0.1459009424 0 0 0 0.99869921 -0.050989105
1741617076.68061 -0.347058015 0.1456536912 0 0 0 0.998772955 -0.049523566
1741617076.78047 -0.347521764 0.1459019192 0 0 0 0.998865176 -0.047627314
1741617076.87912 -0.3466049325 0.14565036 0 0 0 0.998784275 -0.049294747
1741617076.9798 -0.347063217 0.145653852 0 0 0 0.998793424 -0.049109014
1741617077.0784 -0.347065563 0.146140344 0 0 0 0.998953624 -0.04573464
1741617077.27918 -0.347062308 0.1456551928 0 0 0 0.998774168 -0.049499098
1741617077.37908 -0.3465375075 0.1458450232 0 0 0 0.998234835 -0.059390354
1741617077.47939 -0.345679641 0.1471070864 0 0 0 0.998208115 -0.05983778
1741617077.57946 -0.345226434 0.1471037208 0 0 0 0.9982219 -0.05960737
1741617077.67932 -0.3456870585 0.146864876 0 0 0 0.998333434 -0.057709217
1741617077.77953 -0.3456870585 0.146864876 0 0 0 0.998333434 -0.057709217
1741617077.8792 -0.3452288415 0.1468614144 0 0 0 0.998320742 -0.057928369
1741617077.97904 -0.3452288415 0.1468614144 0 0 0 0.998320742 -0.057928369
1741617078.07874 -0.345226434 0.1471037208 0 0 0 0.9982219 -0.05960737
1741617078.17913 -0.345684651 0.1471071824 0 0 0 0.998235622 -0.059377122
1741617078.27836 -0.3456870585 0.146864876 0 0 0 0.998333434 -0.057709217
1741617078.37932 -0.345226434 0.1471037208 0 0 0 0.9982219 -0.05960737
1741617078.57917 -0.327804528 0.153559288 0 0 0 0.996483732 -0.083786465
1741617078.682 -0.2820009585 0.1705324016 0 0 0 0.98963003 -0.143639837
1741617078.78206 -0.226105512 0.1972322624 0 0 0 0.976532219 -0.215371367
1741617078.88043 -0.197084052 0.2237449704 0 0 0 0.953312721 -0.301984861
1741617078.97934 -0.1786381455 0.2430309 0 0 0 0.935556731 -0.353176449
1741617079.17862 -0.1666069155 0.2584592472 0 0 0 0.921300853 -0.388850536
1741617079.27881 -0.167525724 0.257478648 0 0 0 0.922287255 -0.386505135
1741617079.38027 -0.167525724 0.257478648 0 0 0 0.922287255 -0.386505135
1741617079.48021 -0.167525745 0.2577267984 0 0 0 0.922771849 -0.385346745
1741617079.57947 -0.1679851395 0.257732944 0 0 0 0.922295925 -0.386484445
1741617079.67876 -0.167525724 0.257478648 0 0 0 0.922287255 -0.386505135
1741617079.78007 -0.167071359 0.2577227448 0 0 0 0.922284449 -0.38651183
1741617079.87859 -0.1679851395 0.257732944 0 0 0 0.922295925 -0.386484445
1741617079.97879 -0.167525724 0.257478648 0 0 0 0.922287255 -0.386505135
1741617080.07919 -0.1633762665 0.2616364072 0 0 0 0.918303969 -0.395876016
1741617080.67915 -0.157363131 0.2697373784 0 0 0 0.908097068 -0.418759734
1741617082.28031 -0.145293777 0.2881784472 0 0 0 0.895114948 -0.445835429
1741617082.58555 -0.1391210685 0.4321596808 0 0 0 -0.74121503 0.671267666
1741617082.68413 -0.171770142 0.4986144488 0 0 0 -0.670339185 0.742054834
1741617083.19852 -0.5127609885 0.6293365744 0 0 0 -0.23885744 0.971054645
1741617083.30156 -0.5421844785 0.6291715448 0 0 0 -0.202024704 0.979380426
1741617083.40222 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.50166 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.60018 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.70034 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.80014 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.89909 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617083.99761 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617084.09615 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617084.1957 -0.554528892 0.6281249752 0 0 0 -0.187122495 0.982336588
1741617084.2952 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617084.59405 -0.5549337945 0.6291112952 0 0 0 -0.191785653 0.981436836
1741617084.69395 -0.554528892 0.6281249752 0 0 0 -0.187122495 0.982336588
1741617084.79606 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617084.8954 -0.5534963085 0.628292092 0 0 0 0 1
1741617084.99552 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.09489 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.19317 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.29324 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.39246 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.49108 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.58985 -0.553995636 0.6288221344 0 0 0 -0.191130276 0.981564678
1741617085.6879 -0.554528892 0.6281249752 0 0 0 -0.187122495 0.982336588
1741617085.78817 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
1741617085.88744 -0.554058216 0.6281163544 0 0 0 -0.186569874 0.982441694
