Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1741617711.90674 1.3863109455 -0.4542224824 0 0 0 -0.030563118 0.999532839
1741617712.00651 1.3872099855 -0.4535523896 0 0 0 -0.028936604 0.999581249
1741617712.10575 1.386788916 -0.4535534656 0 0 0 -0.032159097 0.999482762
1741617712.20641 1.3868026125 -0.4533283544 0 0 0 -0.020488167 0.999790095
1741617712.30675 1.386769368 -0.4537768936 0 0 0 -0.030534812 0.999533704
1741617712.40702 1.386382617 -0.4533325168 0 0 0 -0.020194012 0.99979608
1741617712.50527 1.385940525 -0.4535510008 0 0 0 -0.025472907 0.999675513
1741617712.607 1.3859218635 -0.4537743104 0 0 0 -0.027210986 0.999629713
1741617712.70578 1.386397557 -0.4531099704 0 0 0 -0.018549471 0.999827944
1741617712.80697 1.387229829 -0.4533319136 0 0 0 -0.030422428 0.999537131
1741617712.90697 1.386802053 -0.4533256648 0 0 0 -0.030970913 0.999520286
1741617713.10622 1.3880400555 -0.453776672 0 0 0 -0.030734898 0.999527571
1741617713.30614 1.3859740965 -0.4531075192 0 0 0 -0.021990462 0.999758181
1741617713.41053 1.386821289 -0.4531073928 0 0 0 -0.018694255 0.999825247
1741617713.50965 1.3872293715 -0.4533317448 0 0 0 -0.016889109 0.999857369
1741617713.90831 1.3867840845 -0.4535491008 0 0 0 -0.029173903 0.999574351
1741617714.10617 1.387635999 -0.4535533488 0 0 0 -0.028864245 0.999583341
1741617714.20689 1.386378219 -0.4533310768 0 0 0 -0.017027541 0.999855021
1741617714.30552 1.3847003415 -0.453104512 0 0 0 -0.022122994 0.999755257
1741617714.50649 1.283177529 -0.4535950456 0 0 0 -0.01675339 0.999859652
1741617715.00649 0.5651714745 -0.4635261128 0 0 0 0 1
1741617715.10685 0.423402276 -0.4639857864 0 0 0 0 1
1741617715.30715 0.1709802405 -0.4726827376 0 0 0 0 1
1741617715.40611 0.0582542685 -0.47460816 0 0 0 0 1
1741617715.5066 -0.0436484115 -0.4755733056 0 0 0 0.004731528 0.999988806
1741617715.60529 -0.13773423 -0.4789940712 0 0 0 0.009641674 0.999953518
1741617715.70699 -0.2260242465 -0.481477508 0 0 0 0.007997183 0.999968022
1741617716.10622 -0.4880805285 -0.491251484 0 0 0 0.016189774 0.999868937
1741617716.20642 -0.5353341735 -0.4926347704 0 0 0 0.01767577 0.999843771
1741617716.30596 -0.574649019 -0.4935174848 0 0 0 0.012888719 0.999916937
1741617716.40641 -0.6082019055 -0.4916503752 0 0 0 0.026894702 0.999638272
1741617716.60773 -0.653953515 -0.490731908 0 0 0 0.018963874 0.99982017
1741617716.70633 -0.664775046 -0.4873418816 0 0 0 -0.004740493 0.999988764
1741617716.80578 -0.6661236015 -0.4868897928 0 0 0 -0.00798079 0.999968153
1741617717.00607 -0.6972150765 -0.4808350152 0 0 0 -0.035593449 0.999366352
1741617717.10641 -0.745221279 -0.4642379336 0 0 0 -0.106567302 0.994305491
1741617717.30663 -0.874004082 -0.3941961952 0 0 0 -0.339486192 0.940611038
1741617727.40541 -0.6495521265 0.2409179104 0 0 0 -0.629285605 0.777174129
1741617727.90689 -0.934508136 0.3230238376 0 0 0 -0.248674808 0.968587033
1741617728.00547 -0.943996143 0.3224016576 0 0 0 -0.234355541 0.972150956
1741617728.10684 -0.9421380675 0.323387616 0 0 0 -0.240687637 0.970602628
1741617728.20683 -0.943055712 0.3226403368 0 0 0 -0.235942761 0.971766954
1741617728.3066 -0.943070709 0.3228973304 0 0 0 -0.240700904 0.970599338
1741617728.40582 -0.9435677865 0.3234114648 0 0 0 -0.239905271 0.970796302
1741617728.50634 -0.9430633935 0.3228962536 0 0 0 -0.242267094 0.970209594
1741617728.70682 -0.941627103 0.3228735968 0 0 0 -0.239909086 0.97079536
1741617728.80621 -0.943090698 0.3236596728 0 0 0 -0.243848864 0.969813246
1741617729.0059 -0.9440188785 0.3229091832 0 0 0 -0.237540905 0.971377536
1741617729.10647 -0.942090282 0.3223707088 0 0 0 -0.239092263 0.970996854
1741617729.20557 -0.943540257 0.3226478592 0 0 0 -0.238307304 0.971189801
1741617729.30558 -0.9430921215 0.32365242 0 0 0 -0.235963049 0.971762028
1741617729.70695 -0.9426072705 0.3236480904 0 0 0 -0.241520845 0.970395631
1741617729.80566 -0.9520332345 0.3208054368 0 0 0 -0.265826289 0.964020946
1741617730.10656 -0.943541424 0.323155212 0 0 0 -0.241507541 0.970398943
1741617730.20648 -0.942563817 0.3226316544 0 0 0 -0.235103009 0.97197046
1741617730.30741 -0.9435426585 0.3231478384 0 0 0 -0.233546335 0.972345674
1741617730.40693 -0.9431094375 0.32416378 0 0 0 -0.243863067 0.969809674
1741617730.50531 -0.943048224 0.3226390368 0 0 0 -0.23751154 0.971384717
1741617730.60736 -0.943065588 0.3228968448 0 0 0 -0.237550462 0.971375199
1741617730.70641 -0.9425906025 0.3226333456 0 0 0 -0.238299105 0.971191812
1741617730.80645 -0.943066956 0.3228940056 0 0 0 -0.237545639 0.971376379
1741617731.0062 -0.9425889135 0.3228841272 0 0 0 -0.238316306 0.971187592
1741617731.10582 -0.943535361 0.3228976496 0 0 0 -0.235119384 0.971966499
1741617731.2067 -0.942117654 0.3233831376 0 0 0 -0.240716232 0.970595537
1741617731.30652 -0.9436000995 0.324668336 0 0 0 -0.236778485 0.971563662
1741617731.40649 -0.941687826 0.3246450216 0 0 0 -0.246351428 0.969180568
1741617731.61046 -0.9435663315 0.32391252 0 0 0 -0.239947016 0.970785985
1741617731.70944 -0.9412095825 0.3243848944 0 0 0 -0.247106194 0.968988405
1741617731.80842 -0.9435827175 0.3239177032 0 0 0 -0.244680957 0.969603645
1741617731.90757 -0.9426360735 0.3244089216 0 0 0 -0.243131991 0.969993214
1741617732.00645 -0.942639612 0.3246602272 0 0 0 -0.246346377 0.969181852
1741617732.10603 -0.943562538 0.323664576 0 0 0 -0.244702503 0.969598208
1741617732.2066 -0.942620595 0.3241549824 0 0 0 -0.246346337 0.969181862
1741617732.30611 -0.9435636975 0.3236615264 0 0 0 -0.244724642 0.96959262
1741617732.40586 -0.9421411575 0.3238987776 0 0 0 -0.247075716 0.968996177
1741617732.50566 -0.944543922 0.324435144 0 0 0 -0.246300547 0.9691935
1741617732.6067 -0.9469551765 0.3254847008 0 0 0 -0.247120035 0.968984875
1741617732.70663 -0.9643978605 0.3341178984 0 0 0 -0.274112564 0.961697615
1741617732.80606 -0.9948319755 0.3452482632 0 0 0 -0.293584092 0.955933251
1741617732.90524 -1.0332578715 0.3618998872 0 0 0 -0.330881421 0.94367234
1741617733.10668 -1.1171621475 0.4109637104 0 0 0 -0.454947227 0.8905184
